,membri_familiari,lavatrice,lavastoviglie,ascugatrice,televisioni,computer,piscina,condizionatore,1F1,1F2,1F3,2F1,2F2,2F3,3F1,3F2,3F3,4F1,4F2,4F3,5F1,5F2,5F3,6F1,6F2,6F3,7F1,7F2,7F3,8F1,8F2,8F3,9F1,9F2,9F3,10F1,10F2,10F3,11F1,11F2,11F3
0,4,2,0,1,0,2,1,0,50.36582943151122,44.811430580869754,45.612888160202445,41.987528075210065,42.79918985019859,39.696310857351314,48.380366956342385,43.73514864882904,46.19638390017675,44.29089388316969,43.801994434032196,38.80598286403633,46.315474883414204,37.063797439943976,39.67717692324067,41.38412934170657,28.19913164340355,33.75467145856653,39.251754048666825,32.758470221953,30.331557766229174,44.7557727873546,34.11306659527022,36.45247585599602,49.26503992271422,42.65210825569295,42.07690406890647,51.93453618735195,44.43595657114463,42.77035479721812,43.01883100456861,37.300106832620536,45.27140773066793
1,5,1,1,1,2,0,1,1,56.87050104366758,52.274570915585855,55.25549456690749,47.17789093361028,45.13225231088925,47.022056190132005,47.74129687655287,46.235693250891394,42.519805177881686,45.51669461001812,41.16477554945486,40.212236162036106,39.7405278864491,39.08952717178396,33.45408423137534,46.34166229018271,30.463716441345557,37.88139334300104,40.75911247419452,38.61904146123634,35.4649801223477,42.06997867151304,38.29964579807865,30.75240760818313,44.36642386191289,38.59950780338442,42.76436821759738,52.67279989738468,45.49576421990503,44.36682761423495,55.01854421922121,47.485718870919605,47.83873971863565
2,1,0,1,1,2,4,0,1,50.38184320779972,35.74037559496324,37.38098475038454,40.65233383777949,36.12733902276771,38.66034448445176,43.85107467641357,39.43586095722274,40.06127543606217,36.15448845772979,44.933468018931435,43.082661231092644,35.17942770765032,33.84850856298629,38.73948068337644,40.62972101730363,28.384107167170274,32.09210582370365,31.67301750317195,31.762143096734363,27.373517851099884,37.22652633601317,31.86400606757198,34.390286884120606,39.33679118705982,39.3767648449993,38.80130095801776,38.43509598151647,40.273441579150116,41.433591317096905,49.46012245887263,30.482469914990116,38.097154449215836
3,1,2,0,2,3,3,0,1,44.63269095206251,41.17015327388669,44.71959762299788,51.844567696337734,37.66024611451813,39.621093392140864,40.65903216194464,45.20659173085713,40.27599386950032,42.298662966921874,39.13043965709335,36.335691166337824,34.38333899503431,38.20040731266853,40.31975734687819,40.093386123225436,38.45358257027183,37.00562055805743,41.72175248720101,31.492511191444702,27.32213097567537,42.66617571496679,38.21644069156601,32.894574375961966,35.58961134437416,38.72759175145403,36.80897871864355,51.46410412511134,42.385426696977255,34.52879366763471,42.45643091022049,38.770303965144684,47.00985371552228
4,2,2,0,2,4,0,1,0,51.86562623323819,38.96495958724701,42.01193736891138,42.16258155628742,40.9897220517467,39.83560169375245,45.20589354368453,41.32667093970371,43.974863794373704,46.52178572643057,41.21389645059947,35.16190252266472,43.5884365169055,34.297990615571095,36.43186796168187,40.49878151805451,30.999661287627575,29.41500438636422,39.15656936902902,31.132798270497034,36.59520450304037,40.7647931294346,33.60357742469042,30.953798988798983,39.34048398632436,38.74587484520943,41.85453893512022,42.81532473548154,41.632198957207976,41.32610586876485,46.41182937621903,32.53495385243907,39.411515688087064
5,3,2,0,2,1,2,1,0,51.23817488246309,45.82534246349472,43.010175597375934,48.23041535673226,37.569770365373884,42.72799021605453,45.08495318808913,47.02852669508532,39.79036532888586,44.488028287730806,40.76775327283275,41.07088046927982,46.14743447954559,39.98509156169409,38.34012013731152,40.227022816169104,29.22366077914097,31.65315100059139,43.17770059244184,31.100530068218557,32.680522445937584,41.96451995943247,30.211846065049325,30.903446653119293,46.4039741180922,39.5636502441839,39.47642560810907,42.556813181267856,37.79069150557843,42.99357147069415,50.25749783581977,41.81823546787004,40.399581887943
6,4,0,1,1,0,3,0,0,49.44682259387249,42.16601396032693,49.913740051646066,40.190555952759716,44.86429963876506,42.75135048362687,50.67449149087329,49.70502365620487,47.90081879241115,43.40487240992196,46.43300099614367,44.90728732502372,41.322718700854026,36.228991103559274,36.54694254531598,39.260715204698435,29.29263807792398,35.14988912894416,36.91304292771523,35.74410077489335,26.830002380327095,37.00141937375085,31.143718437781352,34.707680693151154,47.54602317705438,39.243238083161884,50.93533630539317,42.75457117373166,36.430213437636645,40.740742659456366,49.210397878495435,34.663931309114616,40.38087914662584
7,1,0,2,0,1,3,1,1,48.572932166070565,36.88112620113812,41.93299691330764,43.86128040573285,39.10636448805849,37.04308432613474,41.324662682925414,45.84165265805901,41.34398212877208,37.22033984165731,32.365001490320815,36.411423753469826,38.3790716413112,31.893680256753502,38.22782894495716,36.09111414914659,27.24508935135259,36.260181844652436,32.9879622032346,28.871679415346314,30.377478129674344,30.10164614670966,38.1150539450316,22.231030863400015,36.901361191402465,32.5310571643796,39.425174371170506,38.42306994072079,42.20063970642593,34.14934427911161,40.204879628808655,31.96524112859817,38.060553395131286
8,5,2,2,1,3,4,1,0,52.192570880898955,44.38378672440852,51.14210037577125,55.620950305858315,51.724920638800356,44.948910206863246,43.78780857672694,45.18407487719448,49.959865804905824,49.83107819620484,45.3686610648818,50.91363201924504,50.91299785903844,43.78373226173339,39.044713054837096,48.192957249068186,39.7233247141849,45.72922699935635,40.753788861219356,44.022628615440006,44.58339709370847,47.468503654227824,42.02789498428129,33.5314809388757,46.81249298181341,42.23336168075138,47.14217318254874,47.761753592490166,46.939373454235664,51.529176108293,60.202672561305434,41.33374933640742,43.781144621277676
9,1,0,2,0,3,4,1,0,46.68656032229581,36.746913210524504,41.816151301565824,40.724079473640764,34.5908213913587,46.12480758358793,38.347922079720156,40.1132139427296,41.18870342086754,33.687569164317594,36.19361631165821,42.72617831501219,36.80432016560503,40.34954032874298,33.5340526709253,32.765251304863924,28.18764864553534,34.698478725149926,37.329871814901374,26.461553511366844,34.1985578339595,44.94864946272544,36.51595651953705,22.98843097997985,44.541555110903644,38.279035105226434,35.6049295091244,47.14134157104141,36.71730885618872,39.30022009072783,41.66994857130675,33.230547385412294,39.48145126417981
